planet,epoch,tc,tc_unc
0,0,2454992.1099523176,0.0013022769503514
0,1,2455037.2630580245,0.0012173906510567
0,2,2455082.4152487074,0.001309449610188
0,3,2455127.5737549714,0.0011282916493377
0,4,2455172.7268970595,0.0011050436471566
0,5,2455217.8787598535,0.0011625919713536
0,6,2455263.034290071,0.0009016869012355
0,8,2455353.3432743317,0.0009406114842972
0,9,2455398.5015690723,0.0014898265065559
0,10,2455443.658314248,0.0010381190016888
0,11,2455488.8133218144,0.0013003764187189
0,12,2455533.975129025,0.0020811835171067
0,13,2455579.1274578995,0.0010676617760309
0,14,2455624.287703578,0.001259286726106
0,15,2455669.439564014,0.0010167119269175
0,16,2455714.598954173,0.0009625226539221
0,17,2455759.7539087506,0.0011733909111212
0,18,2455804.906551134,0.0013509688866354
0,19,2455850.0602235603,0.0010402830752257
0,20,2455895.2119010165,0.0014897819440861
0,21,2455940.3664605776,0.0007795702240282
0,22,2455985.518964568,0.0010097202476102
0,23,2456030.6773759956,0.000729450265308
0,24,2456075.830124737,0.0010070651535529
0,25,2456120.9844396906,0.0010030263070049
0,26,2456166.142904507,0.0012060480819117
0,27,2456211.299891736,0.0010465141760662
0,28,2456256.454137275,0.0012489993695642
0,29,2456301.6131686033,0.0012456027264118
1,0,2455043.0044950126,0.0051372175154204
1,1,2455128.316183685,0.0041788249655189
1,2,2455213.6381792873,0.0039747853002939
1,3,2455298.9521784997,0.0044338157013271
1,4,2455384.262083941,0.0034666994107825
1,5,2455469.570679914,0.0037800793858008
1,8,2455725.519872212,0.0029142922707274
1,9,2455810.8416003655,0.0040719008175293
1,11,2455981.4607458417,0.0042398245750418
1,12,2456066.8069804315,0.0039802031297217
1,13,2456152.1079787416,0.0035665849553135
1,15,2456322.7543064742,0.0055797512245577
1,16,2456408.069082373,0.0024648279702129
2,0,2455045.024652254,0.0008404951867647
2,1,2455175.2067037555,0.0008578149878156
2,2,2455305.391166,0.0009149668241372
2,3,2455435.5739689474,0.0007669412997955
2,5,2455695.931251387,0.0010641563666382
2,6,2455826.104359848,0.0008038243134436
2,7,2455956.2836266584,0.0010318887471707
2,8,2456086.449795056,0.0007397959019593
2,9,2456216.629565388,0.0006486253259613
